day_type,work_hours,screen_time_hours,meetings_count,breaks_taken,after_hours_work,sleep_hours,task_completion_rate,Actual,Prediction,Error_Amount
0,9.46,12.83,3,3,1,7.46,73.3,30.4,46.086353,-15.686353302001955
0,8.47,10.67,5,4,0,5.72,62.6,66.45,49.052216,17.397784423828128
0,7.37,10.08,1,5,1,6.75,55.2,83.77,57.963688,25.80631210327148
1,3.11,5.48,2,1,1,6.5,59.8,68.22,46.747814,21.472185821533202
0,6.15,8.98,2,3,0,7.94,54.8,76.94,57.928764,19.01123565673828
0,7.91,10.98,4,5,0,4.83,52.8,77.92,60.90202,17.01798049926758
1,3.59,5.66,3,5,0,6.34,71.8,52.16,35.453335,16.706665191650387
1,5.76,8.41,1,5,0,7.84,71.7,34.98,51.427013,-16.4470133972168
0,9.82,12.08,1,2,1,8.05,74.0,26.38,41.823162,-15.443162078857423
0,11.64,15.41,2,3,1,8.32,84.5,23.31,43.509594,-20.199593963623048
1,4.37,7.12,0,3,0,5.9,62.0,70.7,49.7786,20.921401214599612
1,4.74,8.49,0,5,0,8.71,60.8,54.85,73.39742,-18.547422790527342
0,9.34,13.14,4,4,0,6.86,51.1,65.87,81.15783,-15.287829284667964
0,7.69,10.24,4,2,0,5.61,42.3,91.17,75.17972,15.990281982421877
1,5.36,7.52,2,1,0,4.59,58.2,72.81,51.26707,21.54292922973633
0,8.85,11.11,3,3,1,6.93,68.7,60.37,44.31586,16.054139251708982
0,8.5,10.01,3,5,0,6.48,56.1,82.74,58.09048,24.649519195556636
1,3.22,5.31,0,2,0,5.49,77.6,43.57,24.61657,18.95343048095703
1,3.66,5.42,0,2,0,7.89,71.2,52.52,34.366405,18.153594512939456
0,9.06,11.33,2,2,0,4.81,56.2,73.31,52.783257,20.526743469238284
1,3.49,5.13,1,2,0,6.58,71.1,54.23,32.242985,21.98701522827148
1,6.49,10.12,1,2,0,8.91,70.3,41.17,61.689026,-20.51902587890625
1,3.09,5.75,0,1,0,5.46,76.4,46.8,26.764193,20.03580741882324
0,7.97,9.64,0,2,1,7.66,40.0,100.0,81.774445,18.225555419921875
0,10.11,11.93,3,3,0,7.9,81.0,19.03,34.55207,-15.52207061767578
0,8.53,11.35,2,1,0,6.45,55.4,80.52,57.98219,22.5378108215332
