journal_entry,burnout_score,stress_score,productivity_score,engagement_score,nutrition_score,activity_score
I rushed through debugging all morning and forgot to eat anything until late afternoon while barely leaving my chair,-0.7,-0.6,0.4,0.3,-0.9,-0.8
I felt calm today while reviewing pull requests and I took a proper lunch with a salad and a short walk outside,0.6,0.5,0.5,0.6,0.7,0.6
I stayed glued to my screen fixing a deployment issue and grabbed only a sugary snack from the vending machine,-0.6,-0.8,0.6,0.4,-0.6,-0.9
I planned my tasks clearly this morning and stepped away for a healthy lunch and a quick stretch around the office,0.7,0.6,0.6,0.7,0.8,0.6
I spent hours in back to back meetings and stress built up while I mindlessly ate chips at my desk,-0.8,-0.7,-0.3,-0.4,-0.5,-0.7
I wrote documentation at a steady pace and took a break to eat fruit and walk up and down the stairs,0.5,0.4,0.4,0.5,0.7,0.7
I skipped lunch to finish a tricky coding task and although I shipped the feature I felt drained,-0.5,-0.4,0.7,0.5,-0.8,-0.6
I worked through a focused coding block then heated a healthy meal and walked outside for ten minutes,0.7,0.6,0.7,0.7,0.8,0.7
I felt overwhelmed by bug reports and stress snacking kept me at the keyboard all day,-0.9,-0.8,-0.4,-0.5,-0.4,-0.9
I pair programmed with a colleague and we paused for a balanced lunch and a short stroll,0.6,0.6,0.6,0.8,0.7,0.6
I pushed through a long refactoring session but ignored hunger and barely stood up,-0.6,-0.5,0.6,0.4,-0.9,-0.8
I started the day energized writing tests and later enjoyed a homemade lunch before walking around the block,0.8,0.7,0.7,0.7,0.9,0.7
I kept jumping between Slack messages and ate only a chocolate bar while sitting all afternoon,-0.7,-0.6,-0.3,-0.4,-0.6,-0.9
I methodically cleaned up technical debt and took a proper lunch break with vegetables and some light stretching,0.6,0.5,0.6,0.6,0.8,0.5
I felt pressure to finish a sprint task so I skipped meals and hunched over my laptop,-0.8,-0.7,0.5,0.3,-0.9,-0.8
I enjoyed building a small feature and later ate a balanced lunch while walking around the courtyard,0.7,0.6,0.7,0.7,0.8,0.7
I sat in a tense incident call for hours and grabbed fast food while staying glued to the desk,-0.9,-0.9,-0.2,-0.3,-0.7,-0.9
I moved between tasks smoothly today and took time to eat a healthy bowl and stretch my legs,0.6,0.5,0.6,0.6,0.8,0.6
I was determined to close tickets so I ignored lunch and barely noticed the stiff feeling in my back,-0.6,-0.5,0.6,0.5,-0.9,-0.8
I wrote clean code in the morning then enjoyed soup and a walk which helped me stay focused,0.7,0.6,0.7,0.7,0.8,0.7
I felt mentally fried reviewing endless logs and I stress ate cookies without leaving my seat,-0.9,-0.8,-0.4,-0.5,-0.5,-0.9
I calmly solved a tricky bug then ate a good lunch and paced the hallway for a bit,0.6,0.5,0.7,0.6,0.7,0.6
I spent the whole afternoon firefighting production issues and forgot about proper food,-0.8,-0.9,0.3,0.4,-0.9,-0.8
I worked steadily on a dashboard update and took a refreshing break with fruit and a short walk,0.7,0.6,0.6,0.7,0.8,0.7
I felt sluggish after snacking on junk while sitting through long planning meetings,-0.6,-0.5,-0.3,-0.4,-0.6,-0.7
I coded a feature branch with good momentum then ate a healthy wrap and walked outside,0.7,0.6,0.7,0.7,0.8,0.7
I pushed hard to finish a script and ended up skipping meals and movement,-0.7,-0.6,0.6,0.4,-0.9,-0.9
