journal_entry,sentiment_score
"I am running on fumes after another 14 hour day and I honestly feel like I cannot keep doing this.",-0.95
"I feel completely detached from my work and even simple tickets seem overwhelming.",-0.85
"My manager piled on more deadlines today and I feel crushed by the pressure.",-0.9
"I barely slept because I kept thinking about unresolved production issues.",-0.8
"I feel trapped in nonstop meetings that leave me no time to think.",-0.75
"I am so burned out that opening my laptop makes my chest tight.",-0.98
"I feel invisible on my remote team and it is draining my motivation.",-0.7
"I keep making small mistakes because I am mentally exhausted.",-0.82
"My inbox exploded overnight and I feel defeated before I even start.",-0.78
"I am emotionally drained from constant context switching all day.",-0.88
"I feel anxious every time Slack pings with another urgent request.",-0.72
"I am exhausted but still forcing myself to finish this sprint.",-0.6
"I feel discouraged after my code review was harsh and public.",-0.65
"I am overwhelmed trying to balance support tickets and feature work.",-0.83
"I feel stuck in a loop of late night deploys and early standups.",-0.92
"I am tired and unmotivated but still getting the basics done.",-0.4
"I feel a bit stressed about deadlines but it is manageable.",-0.25
"I am slightly drained after meetings yet still functional.",-0.2
"I feel neutral about today just another average workload.",0.0
"I am neither excited nor upset just steadily working through tasks.",0.05
"I feel okay handling my tickets even though it was busy.",0.15
"My day felt balanced with a mix of calls and focused coding.",0.3
"I am cautiously optimistic after making progress on a tough bug.",0.35
"I feel moderately satisfied finishing what I planned.",0.4
"I am content with how I managed my time today.",0.45
"I feel steady and productive without feeling rushed.",0.5
"My collaboration with the team felt smooth and encouraging.",0.55
"I am motivated after receiving constructive and kind feedback.",0.6
"I feel energized solving a challenging architecture problem.",0.7
"I am genuinely proud of the feature I shipped this afternoon.",0.75
"I feel relaxed because I logged off on time with everything done.",0.8
"My focus was sharp today and coding felt almost effortless.",0.85
"I am thriving in this sprint and feel aligned with my team.",0.9
"I feel deeply fulfilled by the impact of my work lately.",0.95
"I am completely in flow at work and loving the pace.",1.0
"I feel frustrated that priorities keep shifting every hour.",-0.55
"My shoulders ache from hunching over my desk all night debugging.",-0.77
"I feel mentally foggy after reviewing hundreds of lines of legacy code.",-0.68
"I am discouraged because my workload keeps growing without support.",-0.87
"I feel pressured to respond instantly to every notification.",-0.58
"I am slightly uneasy about tomorrow's performance check in.",-0.3
"I feel drained but hopeful that next week will be lighter.",-0.35
"My energy dipped midday yet I recovered and finished strong.",0.25
"I feel proud mentoring a junior developer through their first deploy.",0.65
"I am grateful for a calm day without production fires.",0.72
"I feel creatively inspired while brainstorming new product ideas.",0.82
"My stress level dropped after clearing my backlog completely.",0.88
"I feel supported by my manager during our one on one today.",0.78
"I am satisfied wrapping up the quarter with solid results.",0.86
"I feel balanced and mentally clear as I close my laptop tonight.",0.92
"I feel utterly depleted after carrying the team through another chaotic release.",-0.94
"My head is pounding from staring at dashboards all day and I feel wrecked.",-0.86
"I am losing passion for this job because the workload never eases.",-0.88
"I feel crushed after being blamed for delays I could not control.",-0.91
"I am dragging myself through tasks with zero energy left.",-0.84
"I feel hopeless trying to catch up on an impossible backlog.",-0.97
"My motivation collapsed after weeks without a single day off.",-0.89
